"Geneid","Length","NT_shRNA_hepg2_rep1","NT_shRNA_hepg2_rep2","TARDBP_shRNA_hepg2_rep1","TARDBP_shRNA_hepg2_rep2"
"ENSG00000197785.13_3",3069,573,811,492,455
"ENSG00000160075.11_2",6925,1806,1862,1332,1270
"ENSG00000215014.5_6",2349,9,3,5,5
"ENSG00000228594.3_5",2085,201,300,306,287
"ENSG00000272106.1_5",2038,114,123,133,168
"ENSG00000197530.12_4",8767,430,639,685,650
"ENSG00000248333.8_3",3207,324,402,214,225
"ENSG00000189339.11_2",8360,746,938,921,820
"ENSG00000008128.22_4",4701,33,43,53,34
"ENSG00000268575.1_6",5079,49,77,69,59
"ENSG00000215790.7_5",7713,150,176,166,144
"ENSG00000008130.15_2",5570,798,957,826,709
"ENSG00000078369.17_2",6417,7575,8631,5765,5345
"ENSG00000231050.1_5",906,12,11,16,16
"ENSG00000169885.9_2",2321,4,4,2,5
"ENSG00000178821.12_3",1594,100,144,88,103
"ENSG00000142609.18_4",10422,20,22,45,41
"ENSG00000067606.16_4",7636,1083,1148,908,865
"ENSG00000182873.5_5",1734,24,17,9,11
"ENSG00000162585.16_3",10916,382,415,423,362
"ENSG00000269554.1",1943,2,2,13,4
"ENSG00000157933.9_2",6080,1996,2036,1815,1699
"ENSG00000116151.13_5",11337,90,140,79,74
"ENSG00000269896.2_5",2407,40,70,22,15
"ENSG00000272420.1_6",568,1,7,2,2
"ENSG00000157916.19_4",5691,1069,1240,1226,1146
"ENSG00000157911.10_4",3789,338,458,186,155
"ENSG00000149527.17_4",10781,24,28,42,50
"ENSG00000157881.13_4",5107,348,422,288,270
"ENSG00000272449.2_5",1531,3,5,2,2
"ENSG00000238164.6_6",6137,37,56,52,48
"ENSG00000157873.17_4",6219,268,334,627,531
"ENSG00000157870.15_4",3371,612,764,621,557
"ENSG00000142606.15_4",3844,2,7,2,7
"ENSG00000215912.12_4",8814,12,11,10,7
"ENSG00000177133.10_5",5600,7,22,23,34
"ENSG00000142611.16_3",9767,25,39,49,54
"ENSG00000130762.14_4",5563,285,354,334,297
"ENSG00000272088.1_5",382,7,7,16,14
"ENSG00000162591.15_2",7039,84,130,167,152
"ENSG00000238260.1_5",622,1,3,8,6
"ENSG00000158109.14_2",2414,969,939,1274,1303
"ENSG00000116213.15_2",7604,334,414,349,263
"ENSG00000078900.14_4",6763,71,92,64,86
"ENSG00000227589.1_5",754,15,12,7,10
"ENSG00000227372.12_4",9701,355,487,295,313
"ENSG00000235169.8_4",981,51,82,100,84
"ENSG00000130764.9_2",4516,682,871,685,561
"ENSG00000266075.1",295,1,4,6,4
"ENSG00000272153.1_5",531,0,6,12,8
"ENSG00000116198.12_2",7876,798,848,556,516
"ENSG00000169598.15_3",3870,136,154,149,126
"ENSG00000198912.10_2",4388,577,596,339,351
"ENSG00000236423.5_4",4064,39,69,85,49
"ENSG00000131697.17_4",13167,332,385,294,222
"ENSG00000069424.14_2",9534,280,297,333,331
"ENSG00000116254.17_3",9890,6,10,4,10
"ENSG00000116251.10_4",4682,1483,1745,2066,1856
"ENSG00000158286.12_2",6585,333,364,409,400
"ENSG00000116237.15_2",4910,1945,2219,1689,1562
"ENSG00000225077.3_3",2358,2,1,6,7
"ENSG00000158292.6_2",4082,65,40,61,56
"ENSG00000097021.19_3",4124,603,755,430,427
"ENSG00000069812.11_2",5407,33,29,5,6
"ENSG00000187017.16_4",6952,855,1321,902,857
"ENSG00000215788.10_4",4283,72,82,36,20
"ENSG00000171680.21_3",7053,457,447,237,260
"ENSG00000162408.10_2",7293,658,715,419,416
"ENSG00000173662.20_3",2892,11,38,37,36
"ENSG00000204859.12_3",4503,141,187,219,159
"ENSG00000162413.16_3",6901,403,521,516,484
"ENSG00000116273.5_2",3681,399,516,460,400
"ENSG00000041988.15_5",4072,108,126,75,90
"ENSG00000007923.15_3",5083,2067,2299,1504,1477
"ENSG00000237436.1_5",415,3,9,12,2
"ENSG00000171735.18_3",10033,582,615,700,779
"ENSG00000270035.1_5",570,5,2,9,5
"ENSG00000269978.1_5",267,8,9,6,6
"ENSG00000049245.12_3",2760,2537,2460,1245,1156
"ENSG00000269925.1_6",393,9,10,19,9
"ENSG00000049246.14_2",8099,216,218,320,334
"ENSG00000049249.8_3",6331,0,3,8,5
"ENSG00000116288.12_3",2397,1657,1824,1220,1055
"ENSG00000284747.1_3",4116,25,24,13,11
"ENSG00000116285.12_2",4186,6492,8226,3528,3200
"ENSG00000238290.1_5",2044,19,13,16,14
"ENSG00000142599.17_4",11503,5872,6777,4909,4935
"ENSG00000074800.15_5",5276,18222,25313,12943,11170
"ENSG00000142583.17_3",6693,2,4,7,1
"ENSG00000180758.11_3",5372,209,332,355,323
"ENSG00000228526.7_4",8702,638,800,723,713
"ENSG00000234546.3_4",1662,2,8,18,12
"ENSG00000049239.12_3",9321,1069,1365,1334,1066
"ENSG00000171621.13_2",3403,245,230,252,268
"ENSG00000235263.1_5",708,1,7,2,3
"ENSG00000171612.6_3",3854,544,665,463,413
"ENSG00000231181.1_5",559,19,24,30,29
"ENSG00000188807.12_3",6966,418,389,409,416
"ENSG00000171608.15_2",6332,496,592,518,392
"ENSG00000231789.2_5",939,59,68,104,108
"ENSG00000171603.17_3",5683,3306,4345,4060,3659
"ENSG00000280113.2_4",1983,0,0,6,1
"ENSG00000178585.14_2",3339,311,447,553,504
"ENSG00000162441.11_2",2794,748,828,556,489
"ENSG00000228150.1_6",440,2,7,3,1
"ENSG00000173614.13_3",4610,210,286,221,192
"ENSG00000162444.11_2",861,21,16,13,3
"ENSG00000130939.18_3",9128,1917,2121,1219,1116
"ENSG00000054523.17_4",17720,3024,3518,2409,2245
"ENSG00000284642.1_3",1477,28,26,27,20
"ENSG00000142657.20_3",2966,5353,6178,4680,4367
"ENSG00000175279.21_3",1739,9,4,0,4
"ENSG00000160049.11_2",6622,1586,1859,1008,1043
"ENSG00000142655.12_2",2995,424,562,391,380
"ENSG00000130940.14_2",11336,246,273,243,252
"ENSG00000120948.17_5",6071,2736,2927,1083,1083
"ENSG00000009724.16_2",4251,244,338,439,331
"ENSG00000271895.2_6",870,35,48,9,21
"ENSG00000116649.9_3",1898,1225,1622,1350,1281
"ENSG00000171824.13_3",6003,2346,2673,1339,1342
"ENSG00000226849.1_6",2682,12,14,11,20
"ENSG00000198793.12_3",12119,2085,2484,2148,1883
"ENSG00000120942.13_3",5082,708,710,798,721
"ENSG00000204624.7_3",6142,6,3,2,2
"ENSG00000116661.10_3",3416,1030,1062,696,605
"ENSG00000132879.13_2",3527,351,417,379,347
"ENSG00000116663.10_2",1811,77,70,123,118
"ENSG00000116670.14_3",3324,229,306,155,142
"ENSG00000177674.15_5",2435,191,251,283,249
"ENSG00000177000.12_6",11978,211,211,308,277
"ENSG00000011021.22_4",8174,1617,1926,2663,2553
"ENSG00000116685.15_2",3281,1314,1803,1621,1564
"ENSG00000083444.16_2",5320,4462,6260,10058,9271
"ENSG00000116688.16_4",4973,1798,2240,1676,1615
"ENSG00000116691.10_2",2821,186,273,149,179
"ENSG00000028137.18_3",3766,8,2,3,3
"ENSG00000048707.15_5",20766,989,1128,956,786
"ENSG00000229484.1_5",438,3,8,5,5
"ENSG00000162496.8_2",3036,436,611,813,701
"ENSG00000272482.1_5",345,14,21,20,15
"ENSG00000179172.9_3",1108,21,36,6,5
"ENSG00000116731.22_3",10923,798,782,613,648
"ENSG00000189337.16_5",13841,1378,1406,1404,1377
"ENSG00000175147.12_5",7873,132,171,132,141
"ENSG00000171729.13_2",2240,449,585,332,309
"ENSG00000142634.12_2",2531,557,712,459,419
"ENSG00000132906.17_3",5269,160,212,185,138
"ENSG00000116138.12_2",8563,915,875,1021,1009
"ENSG00000272510.1_5",346,5,12,14,25
"ENSG00000116771.5_2",2500,1654,2289,1634,1486
"ENSG00000235084.3_4",447,7,12,6,4
"ENSG00000197312.11_3",12136,1770,2260,1424,1250
"ENSG00000116786.12_4",4122,918,1038,711,675
"ENSG00000162461.7_2",3195,1,3,3,5
"ENSG00000224459.1_5",639,5,5,1,0
"ENSG00000162460.6_2",1520,3,7,3,1
"ENSG00000162458.12_4",4716,803,775,380,409
"ENSG00000224321.1_4",490,9,8,6,6
"ENSG00000233954.6_2",2180,108,102,85,109
"ENSG00000178715.8_5",438,2,7,12,9
"ENSG00000179743.4_5",2473,21,26,38,28
"ENSG00000065526.10_2",13294,4190,5061,3833,3632
"ENSG00000116809.11_2",4240,422,453,322,270
"ENSG00000183888.4_3",3039,302,372,220,193
"ENSG00000173641.17_5",3910,3,8,1,1
"ENSG00000142627.12_2",4159,1544,1957,1451,1254
"ENSG00000227959.1_5",904,2,10,5,6
"ENSG00000224621.1_5",544,3,0,4,6
"ENSG00000142632.16_3",3745,56,48,23,29
"ENSG00000237276.8_4",1990,6,3,8,1
"ENSG00000204377.3",252,4,5,3,3
"ENSG00000132881.11_3",1545,6,5,5,6
"ENSG00000037637.10_3",8984,313,344,318,337
"ENSG00000055070.16_2",4747,2232,2332,1611,1559
"ENSG00000187144.11_2",4506,40,40,94,97
"ENSG00000157191.19_2",5559,653,722,481,464
"ENSG00000226029.1_4",3245,13,11,17,13
"ENSG00000080947.14_2",6813,117,138,142,119
"ENSG00000219481.10_3",12212,2602,2674,3601,3536
"ENSG00000215908.10_3",5606,794,1175,1003,883
"ENSG00000186301.8_2",2291,1654,2578,2328,1989
"ENSG00000236698.1_4",435,16,11,5,7
"ENSG00000268869.5_2",3178,11,25,27,13
"ENSG00000058453.16_3",8871,99,154,116,91
"ENSG00000186715.11_3",5298,418,623,540,421
"ENSG00000117122.13_5",2915,159,127,125,109
"ENSG00000159363.17_3",5253,625,812,787,727
"ENSG00000117118.9_2",2462,548,690,592,557
"ENSG00000179051.13_3",4126,2713,3057,1772,1847
"ENSG00000074964.16_3",7817,709,1145,1181,1061
"ENSG00000117148.7_2",1864,8,8,3,4
"ENSG00000179023.8_2",5145,63,67,142,130
"ENSG00000159423.16_3",3689,607,915,1087,1013
"ENSG00000169991.10_3",6188,661,721,424,485
"ENSG00000272084.1_6",3402,2,3,5,3
"ENSG00000127481.14_3",24675,7118,8188,8573,7678
"ENSG00000266098.1",100,4,2,5,5
"ENSG00000230424.1_5",507,11,16,15,9
"ENSG00000127463.14_6",9623,2308,2651,3403,3192
"ENSG00000053372.4_3",2822,766,968,458,359
"ENSG00000211454.13_3",2768,16,20,7,18
"ENSG00000162482.4_2",1710,7,22,8,11
"ENSG00000053371.12_5",1781,544,676,469,425
"ENSG00000200403.1",107,14,14,7,1
"ENSG00000040487.12_3",2686,195,251,263,231
"ENSG00000077549.17_4",3238,3604,3597,2288,2472
"ENSG00000173436.14_4",5480,97,123,70,76
"ENSG00000158747.14_4",3596,79,77,20,18
"ENSG00000226396.1_5",455,4,12,19,5
"ENSG00000162542.13_3",4054,120,145,129,146
"ENSG00000169914.5_2",6767,667,720,406,346
"ENSG00000188257.11_3",1685,690,713,114,137
"ENSG00000162543.5_2",5571,3,5,1,2
"ENSG00000284743.1_3",674,7,7,3,6
"ENSG00000162545.5_2",2615,10287,9001,7598,8223
"ENSG00000090432.6_2",2438,410,459,382,361
"ENSG00000183114.7_2",2572,72,100,51,46
"ENSG00000158825.5_2",963,79,78,28,29
"ENSG00000158828.7_3",4836,369,435,358,328
"ENSG00000117242.7_6",4443,375,411,447,450
"ENSG00000244038.9_5",2721,3155,4034,4958,4500
"ENSG00000117245.12_3",4470,24,16,17,17
"ENSG00000189410.11_5",4423,78,66,54,54
"ENSG00000127483.17_3",7442,4733,5392,3863,3798
"ENSG00000075151.20_3",9596,3123,3281,2175,1942
"ENSG00000117298.15_4",7333,1970,2141,2428,2177
"ENSG00000227001.3_4",661,20,20,6,11
"ENSG00000187952.9_4",1234,11,14,14,7
"ENSG00000142794.18_3",6812,153,141,113,84
"ENSG00000162551.13_4",3007,50,19,9,11
"ENSG00000076864.19_4",5755,526,869,814,676
"ENSG00000090686.15_2",9497,2326,2611,1751,1549
"ENSG00000187942.11_2",4490,2,12,1,0
"ENSG00000142798.19_4",18104,5517,6370,6262,5862
"ENSG00000218510.8_5",3764,70,102,97,86
"ENSG00000285721.1_1",10598,11,6,2,1
"ENSG00000070831.15_5",3598,19,29,18,20
"ENSG00000230068.2_5",692,7,1,0,2
"ENSG00000184677.17_4",9169,962,1197,871,807
"ENSG00000237200.1_5",273,9,11,13,11
"ENSG00000004487.16_4",5440,3200,3657,2145,1904
"ENSG00000169641.13_4",9658,1119,1354,716,622
"ENSG00000179546.4_3",2835,4,2,59,52
"ENSG00000261326.3_4",5445,85,106,123,105
"ENSG00000125944.19_4",8676,11960,12888,5680,5183
"ENSG00000125945.14_2",4392,310,361,272,211
"ENSG00000249087.6_5",2655,28,28,20,14
"ENSG00000271420.1_5",650,8,7,12,7
"ENSG00000204219.10_3",3515,1802,2291,2458,2418
"ENSG00000088280.18_3",4988,653,760,750,664
"ENSG00000007968.6_2",5457,208,281,79,78
"ENSG00000235052.1_5",456,4,5,8,4
"ENSG00000117318.8_2",1797,700,801,169,184
"ENSG00000142676.14_4",2659,16779,19412,17728,16451
"ENSG00000011007.12_3",5391,1839,2005,1745,1647
"ENSG00000236810.5_5",1347,30,28,15,24
"ENSG00000057757.9_3",2186,433,456,301,298
"ENSG00000011009.10_2",2196,794,1047,1152,985
"ENSG00000117308.14_3",3978,309,481,383,336
"ENSG00000117305.14_3",5658,362,418,361,342
"ENSG00000179163.11_2",2047,491,562,910,800
"ENSG00000189266.12_4",2779,2281,2617,2166,1827
"ENSG00000188529.14_3",10277,4336,4952,2695,2388
"ENSG00000225315.2_6",454,3,4,8,1
"ENSG00000142661.18_2",9254,991,1173,830,741
"ENSG00000142677.3_2",2798,191,279,340,329
"ENSG00000185436.11_2",4923,199,192,265,228
"ENSG00000158055.15_2",3940,6,6,7,9
"ENSG00000001460.17_3",8511,129,169,105,97
"ENSG00000001461.16_2",9404,207,257,249,228
"ENSG00000117602.11_2",7077,549,515,315,291
"ENSG00000264443.1_5",1445,3,3,5,6
"ENSG00000184454.6_3",4122,53,95,134,108
"ENSG00000133226.16_5",8168,6022,6268,4871,4912
"ENSG00000169504.14_3",4495,3979,4303,3407,3170
"ENSG00000020633.18_2",4523,9,13,6,7
"ENSG00000117614.9_3",3370,978,1077,593,552
"ENSG00000284602.1_3",2190,16,28,35,39
"ENSG00000117616.17_4",6804,406,477,501,446
"ENSG00000261349.1_5",459,21,15,23,19
"ENSG00000224183.1_4",480,0,8,4,3
"ENSG00000259984.1_5",459,29,29,26,32
"ENSG00000183726.10_2",3410,1454,1617,1485,1334
"ENSG00000238084.4_5",478,5,5,2,2
"ENSG00000204178.10_3",3979,854,1025,739,693
"ENSG00000157978.11_2",5397,383,456,539,429
"ENSG00000117643.14_3",9026,14,10,10,17
"ENSG00000162430.16_5",4424,2025,2021,2343,2383
"ENSG00000228172.5_5",2793,24,18,35,21
"ENSG00000117640.17_3",5817,411,425,587,510
"ENSG00000127423.10_3",2408,174,212,53,45
"ENSG00000182749.5_3",3297,410,524,438,388
"ENSG00000117632.22_3",6261,3482,3925,1018,1042
"ENSG00000158006.13_2",3835,318,373,410,385
"ENSG00000158008.9_2",4537,3,4,21,23
"ENSG00000175087.9_4",4535,130,118,122,151
"ENSG00000142684.8_3",769,172,223,157,152
"ENSG00000142675.17_2",4043,202,242,192,201
"ENSG00000236155.6_5",3191,52,45,50,47
"ENSG00000130695.15_4",5145,596,659,406,384
"ENSG00000142669.14_3",1786,1763,1561,1186,1486
"ENSG00000158062.20_4",4704,295,397,216,197
"ENSG00000169442.8_2",935,14,8,5,8
"ENSG00000176092.15_4",6895,28,51,35,30
"ENSG00000131914.10_2",4008,17,4,5,3
"ENSG00000117682.16_2",5596,680,776,760,771
"ENSG00000225891.1_5",529,5,4,8,5
"ENSG00000198830.10_2",2509,1469,1818,504,500
"ENSG00000117676.13_4",5884,503,639,313,296
"ENSG00000260063.1_5",2000,5,5,8,16
"ENSG00000117713.19_4",15928,5436,5604,4182,4238
"ENSG00000060642.10_4",3382,221,212,244,227
"ENSG00000204160.11_4",5436,451,499,557,459
"ENSG00000175793.11_3",1320,247,258,98,78
"ENSG00000142751.14_2",4979,458,484,398,361
"ENSG00000198746.12_3",2225,238,308,203,220
"ENSG00000090273.13_3",2856,4540,5107,2931,2542
"ENSG00000131910.4_2",1156,1432,1768,2431,2323
"ENSG00000175707.8_2",1793,49,82,59,73
"ENSG00000253368.3_4",1976,2205,2030,2726,2848
"ENSG00000158246.7_3",2368,10,5,2,9
"ENSG00000090020.10_2",5974,529,537,506,563
"ENSG00000214973.3_4",640,20,17,10,1
"ENSG00000225159.1_4",867,23,28,7,7
"ENSG00000142784.15_2",6024,480,584,674,668
"ENSG00000186501.14_4",4476,287,286,336,245
"ENSG00000241547.1_4",468,8,6,6,1
"ENSG00000142765.17_4",5584,220,299,372,332
"ENSG00000142733.15_4",4951,101,146,56,58
"ENSG00000181773.6_2",2115,100,114,83,94
"ENSG00000158195.10_2",5666,3259,3670,2223,2187
"ENSG00000237429.1_5",283,1,0,7,2
"ENSG00000126705.14_3",8297,430,478,529,500
"ENSG00000235912.1_5",192,14,13,8,18
"ENSG00000126709.14_2",865,82,70,249,290
"ENSG00000009780.15_4",4034,195,217,194,166
"ENSG00000117758.13_3",3846,529,529,395,378
"ENSG00000117751.17_3",2819,1097,1121,590,539
"ENSG00000130775.15_2",4621,21,21,9,11
"ENSG00000117748.9_2",2019,661,719,399,368
"ENSG00000130768.14_3",2670,40,29,7,12
"ENSG00000158156.7_2",2743,112,109,131,157
"ENSG00000158161.15_4",6483,700,768,536,528
"ENSG00000228589.3_4",681,20,20,17,6
"ENSG00000169403.11_2",4706,76,82,42,49
"ENSG00000126698.10_2",2888,3468,3859,1580,1534
"ENSG00000130770.17_3",2225,1739,1961,1964,2051
"ENSG00000270605.1_5",1945,42,48,90,67
"ENSG00000130766.4_2",3453,315,349,538,529
"ENSG00000130772.13_2",2019,131,203,145,129
"ENSG00000204138.12_3",7322,2796,3039,2378,2460
"ENSG00000180198.16_4",3888,1428,1835,510,432
"ENSG00000242125.3_4",4088,1293,1516,827,813
"ENSG00000200087.1",204,20,21,12,14
"ENSG00000238821.1",100,5,7,4,7
"ENSG00000180098.9_2",4311,140,195,107,89
"ENSG00000197989.14_5",4266,270,343,312,264
"ENSG00000120656.11_2",2337,529,545,333,335
"ENSG00000188060.7_2",2200,322,543,403,350
"ENSG00000162419.12_2",6459,193,230,131,123
"ENSG00000198492.15_5",3859,1275,1404,973,865
"ENSG00000233427.1_5",1085,3,2,3,5
"ENSG00000159023.21_5",19993,2113,2443,1397,1225
"ENSG00000253304.1_2",2639,55,56,41,46
"ENSG00000116350.16_4",8893,3131,3534,2143,2013
"ENSG00000116353.15_3",3922,154,184,140,143
"ENSG00000060656.19_3",6682,1411,1786,1523,1336
"ENSG00000162510.5_2",4606,2,2,1,5
"ENSG00000186056.10_5",4024,3,5,2,5
"ENSG00000162511.7_2",3274,105,54,13,16
"ENSG00000223382.4_4",1646,5,2,0,0
"ENSG00000162512.15_4",7067,1104,822,296,340
"ENSG00000134644.15_3",6621,4227,4677,2840,2808
"ENSG00000200154.1",86,0,5,1,0
"ENSG00000084628.9_2",2987,52,43,20,24
"ENSG00000060688.12_3",3881,662,766,439,365
"ENSG00000229447.2_5",437,4,2,7,1
"ENSG00000121766.15_4",1921,1057,1089,514,495
"ENSG00000168528.11_3",3549,1018,1303,3155,3139
"ENSG00000284543.1_3",9848,5,1,7,2
"ENSG00000229167.1_5",591,16,23,20,13
"ENSG00000142910.15_2",5281,243,371,475,483
"ENSG00000162517.12_2",2227,570,656,451,442
"ENSG00000084636.17_4",9269,495,636,581,550
"ENSG00000121753.12_4",7756,8,3,4,1
"ENSG00000134668.12_4",7085,7,7,5,2
"ENSG00000184007.20_5",6719,3455,3596,2575,2511
"ENSG00000121774.17_2",3588,4154,4869,2297,2161
"ENSG00000121775.17_2",2820,144,165,114,111
"ENSG00000025800.13_3",7480,1955,2159,1564,1610
"ENSG00000084652.15_2",5103,2267,2744,2100,1998
"ENSG00000160050.14_3",2818,20,18,18,22
"ENSG00000224066.1_5",1357,10,9,12,5
"ENSG00000160051.11_3",2478,102,117,49,34
"ENSG00000160055.19_2",3571,98,104,104,69
"ENSG00000084623.11_2",1725,2694,2983,2204,2222
"ENSG00000220785.7_4",2961,85,107,121,118
"ENSG00000183615.5_2",936,9,9,7,9
"ENSG00000182866.16_3",3339,89,83,9,8
"ENSG00000116478.11_4",3963,1829,2092,1607,1467
"ENSG00000175130.6_2",1699,4353,4882,2167,2205
"ENSG00000233775.1_5",687,2,2,6,8
"ENSG00000162526.6_2",2191,28,26,19,26
"ENSG00000225828.1_5",2845,283,349,586,512
"ENSG00000160058.18_2",6271,1417,1555,1788,1648
"ENSG00000273274.1_3",12834,4,3,6,4
"ENSG00000160062.14_3",7075,82,60,62,80
"ENSG00000176261.15_5",3531,617,706,529,478
"ENSG00000162521.18_5",9470,3278,3669,2396,2083
"ENSG00000162520.14_4",3487,210,207,164,127
"ENSG00000162522.10_2",5965,1731,1940,1095,1039
"ENSG00000134684.10_2",8212,1830,2232,1732,1542
"ENSG00000116497.17_3",9194,757,803,655,579
"ENSG00000160097.17_4",3139,15,18,83,74
"ENSG00000121900.18_2",1417,22,29,10,14
"ENSG00000116514.16_3",2610,358,408,286,264
"ENSG00000004455.16_2",5727,2451,3270,2056,1859
"ENSG00000142920.16_2",6559,30,38,34,47
"ENSG00000116525.13_2",3646,127,130,99,97
"ENSG00000279179.1_5",3448,1,4,1,6
"ENSG00000160094.14_4",3331,566,591,740,685
"ENSG00000270115.1_6",469,7,9,14,9
"ENSG00000134686.18_4",4975,1141,1402,1018,875
"ENSG00000222112.1",299,7,8,7,10
"ENSG00000233246.1_5",490,5,3,2,3
"ENSG00000121903.14_2",5308,124,96,77,50
"ENSG00000163866.8_3",8091,554,715,490,410
"ENSG00000284773.1_2",3163,7,11,19,21
"ENSG00000241014.2_6",1887,8,3,7,3
"ENSG00000163867.16_3",9591,216,185,161,158
"ENSG00000197056.10_3",5220,413,422,225,173
"ENSG00000116560.10_2",7426,12349,13802,7044,6559
"ENSG00000146463.11_3",7647,2048,2288,1890,1640
"ENSG00000229994.1_4",886,351,364,218,223
"ENSG00000142687.17_3",9629,1839,2015,3538,3194
"ENSG00000020129.15_3",4917,352,360,348,370
"ENSG00000116819.7_3",2216,17,15,33,34
"ENSG00000126067.11_2",4843,2955,3290,1678,1611
"ENSG00000142686.7_2",3629,28,42,13,8
"ENSG00000092853.13_3",5411,1222,1445,228,213
"ENSG00000134698.10_2",7267,437,552,678,639
"ENSG00000092847.11_3",13886,1787,1973,1262,1218
"ENSG00000126070.19_2",21157,691,753,552,495
"ENSG00000092850.11_2",1978,6,4,3,2
"ENSG00000116863.10_2",1668,223,329,200,189
"ENSG00000171812.12_4",4670,4,6,3,6
"ENSG00000054116.11_2",3527,440,498,479,394
"ENSG00000116871.15_5",5271,926,989,636,669
"ENSG00000054118.14_5",4736,5979,6875,3857,3448
"ENSG00000214193.10_6",4474,427,570,265,266
"ENSG00000142694.6_2",1211,8,19,21,8
"ENSG00000116883.8_6",1838,43,59,38,33
"ENSG00000196182.10_3",5590,1396,1739,2231,2080
"ENSG00000181817.5_2",1496,311,402,283,246
"ENSG00000116885.18_3",2788,15,16,22,15
"ENSG00000116898.11_2",2916,990,1215,810,801
"ENSG00000119535.17_5",8429,327,489,1297,1310
"ENSG00000233621.1_5",1395,9,15,10,13
"ENSG00000163874.10_3",3121,228,284,308,280
"ENSG00000163875.15_3",3487,1121,1106,1004,986
"ENSG00000263675.1",60,10,5,3,6
"ENSG00000163877.10_2",5769,341,368,355,310
"ENSG00000237749.4_5",253,10,14,12,19
"ENSG00000163879.10_2",4456,32,32,42,42
"ENSG00000134697.12_5",5745,1344,1557,901,810
"ENSG00000169218.13_2",3089,8,6,3,0
"ENSG00000116922.14_4",4434,372,463,286,237
"ENSG00000134690.10_2",2469,984,1221,195,225
"ENSG00000183317.16_4",8152,13,14,18,18
"ENSG00000185090.14_3",3018,586,743,654,554
"ENSG00000196449.3_2",1826,175,172,161,121
"ENSG00000197982.13_4",2231,77,124,123,96
"ENSG00000188786.9_2",8024,470,514,410,373
"ENSG00000204084.12_3",8930,253,305,336,337
"ENSG00000183431.11_2",4740,2733,3008,1676,1447
"ENSG00000183386.9_2",2004,249,316,269,288
"ENSG00000183520.11_3",3385,608,736,471,397
"ENSG00000224592.5_5",684,1,4,5,1
