Gene	Score	0.95 MoE	P-Value	FDR
SRPRB	0.8227155929144979		4.988526389304599e-05	0.0017793594306049821
OPRS1	0.8226078772331824		4.988526389304599e-05	0.0017793594306049821
QTRT1	0.8224735511990223		4.988526389304599e-05	0.0017793594306049821
TOP1MT	0.8221854982100397		4.988526389304599e-05	0.0017793594306049821
TRA16	0.821911962574656		4.988526389304599e-05	0.0017793594306049821
C3ORF21	0.8217937310271289		4.988526389304599e-05	0.0017793594306049821
SNORA9	0.8211463633764239		4.988526389304599e-05	0.0017793594306049821
STC2	0.8210971680645082		4.988526389304599e-05	0.0017793594306049821
PEO1	0.8201392492753741		4.988526389304599e-05	0.0017793594306049821
SLC39A11	0.8195333343293977		4.988526389304599e-05	0.0017793594306049821
GNL3	0.8192492467472583		4.988526389304599e-05	0.0017793594306049821
CHCHD4	0.8191009834362654		4.988526389304599e-05	0.0017793594306049821
C1ORF2	0.8190866457938047		4.988526389304599e-05	0.0017793594306049821
SLC25A26	0.818656578417242		4.988526389304599e-05	0.0017793594306049821
MXI1	0.8182937373487281		4.988526389304599e-05	0.0017793594306049821
HSPA1A	0.8179640332665951		4.988526389304599e-05	0.0017793594306049821
ZCD1	0.8174756142121856		4.988526389304599e-05	0.0017793594306049821
BOP1	0.8162398599422328		4.988526389304599e-05	0.0017793594306049821
AATF	0.8160582990764398		4.988526389304599e-05	0.0017793594306049821
HSPD1	0.8160578494644926		4.988526389304599e-05	0.0017793594306049821
LOC150223	0.8155228061338262		4.988526389304599e-05	0.0017793594306049821
STX5	0.8145512781573441		4.988526389304599e-05	0.0017793594306049821
WDR3	0.8142312459980721		4.988526389304599e-05	0.0017793594306049821
SC65	0.8135973543349277		4.988526389304599e-05	0.0017793594306049821
FKBP4	0.8133756928154383		4.988526389304599e-05	0.0017793594306049821
PPAT	0.8133134686014301		4.988526389304599e-05	0.0017793594306049821
MYBBP1A	0.81211420605203		4.988526389304599e-05	0.0017793594306049821
NOL10	0.8119299608393832		4.988526389304599e-05	0.0017793594306049821
MTERFD1	0.8116945734903321		4.988526389304599e-05	0.0017793594306049821
CABC1	0.8113419820984036		4.988526389304599e-05	0.0017793594306049821
EXOSC2	0.8104879099397266		4.988526389304599e-05	0.0017793594306049821
HEATR2	0.8102898383775493		4.988526389304599e-05	0.0017793594306049821
SLC1A3	0.8100612545481167		4.988526389304599e-05	0.0017793594306049821
PHB	0.8098662766923607		4.988526389304599e-05	0.0017793594306049821
APEX1	0.8095275574242964		4.988526389304599e-05	0.0017793594306049821
TMEM5	0.8094463067385181		4.988526389304599e-05	0.0017793594306049821
ADSL	0.8089860505980554		4.988526389304599e-05	0.0017793594306049821
TALDO1	0.808232614530002		4.988526389304599e-05	0.0017793594306049821
CHCHD8	0.8079342447925028		4.988526389304599e-05	0.0017793594306049821
ZNF420	0.8077799688936544		4.988526389304599e-05	0.0017793594306049821
DDX56	0.807650307949415		4.988526389304599e-05	0.0017793594306049821
INTS10	0.8069602035385549		4.988526389304599e-05	0.0017793594306049821
DNPEP	0.8067066596881487		4.988526389304599e-05	0.0017793594306049821
KIAA0020	0.8061108870143125		4.988526389304599e-05	0.0017793594306049821
KATNB1	0.8058664540320929		4.988526389304599e-05	0.0017793594306049821
LOC93622	0.8057510536164296		4.988526389304599e-05	0.0017793594306049821
SCARB1	0.8052488111888587		4.988526389304599e-05	0.0017793594306049821
MNT	0.8050973144716604		4.988526389304599e-05	0.0017793594306049821
PDCD2L	0.8050543159734923		4.988526389304599e-05	0.0017793594306049821
MGC4562	0.8050360466608872		4.988526389304599e-05	0.0017793594306049821
ZNF593	0.8049576339663289		4.988526389304599e-05	0.0017793594306049821
NME1	0.8049342629467121		4.988526389304599e-05	0.0017793594306049821
RANBP1	0.8047817918976007		4.988526389304599e-05	0.0017793594306049821
PAK1IP1	0.8037408033637417		4.988526389304599e-05	0.0017793594306049821
NUFIP1	0.8033565404060012		4.988526389304599e-05	0.0017793594306049821
PUS1	0.8033013840920643		4.988526389304599e-05	0.0017793594306049821
GAS5	0.8027397714259248		4.988526389304599e-05	0.0017793594306049821
POLR3K	0.8027018965221596		4.988526389304599e-05	0.0017793594306049821
JPH1	0.8026711028948308		4.988526389304599e-05	0.0017793594306049821
CD3EAP	0.8026328867283358		4.988526389304599e-05	0.0017793594306049821
EIF3S9	0.8025960317414846		4.988526389304599e-05	0.0017793594306049821
SURF6	0.8019639724432552		4.988526389304599e-05	0.0017793594306049821
ALDH18A1	0.8017824896349761		4.988526389304599e-05	0.0017793594306049821
DDX21	0.8017728333306049		4.988526389304599e-05	0.0017793594306049821
MRPS12	0.8011980334184297		4.988526389304599e-05	0.0017793594306049821
DLEU1	0.8011685988863423		4.988526389304599e-05	0.0017793594306049821
SLC13A3	0.8009531487357799		4.988526389304599e-05	0.0017793594306049821
PRPF4	0.8005178175953778		4.988526389304599e-05	0.0017793594306049821
AMPD2	0.8004802302407056		4.988526389304599e-05	0.0017793594306049821
SLC6A8	0.8004141788502391		4.988526389304599e-05	0.0017793594306049821
XTP3TPA	0.8003588215879454		4.988526389304599e-05	0.0017793594306049821
EIF4EBP3	0.8002688584537699		4.988526389304599e-05	0.0017793594306049821
LRP16	0.8002402558724212		4.988526389304599e-05	0.0017793594306049821
HIG2	0.8001522054890049		4.988526389304599e-05	0.0017793594306049821
C12ORF24	0.8000507965468173		4.988526389304599e-05	0.0017793594306049821
EGR1	0.8000472437965703		4.988526389304599e-05	0.0017793594306049821
KIAA0690	0.799941202827158		4.988526389304599e-05	0.0017793594306049821
PDRG1	0.7998993087500852		4.988526389304599e-05	0.0017793594306049821
GMDS	0.7991699455086553		4.988526389304599e-05	0.0017793594306049821
NPAL3	0.7990994949011138		4.988526389304599e-05	0.0017793594306049821
RPL22L1	0.7988610344286199		4.988526389304599e-05	0.0017793594306049821
GTF3A	0.7988069886872055		4.988526389304599e-05	0.0017793594306049821
IL17D	0.7987893704691784		4.988526389304599e-05	0.0017793594306049821
PNPO	0.7986551419101481		4.988526389304599e-05	0.0017793594306049821
NAT10	0.7978631031006024		4.988526389304599e-05	0.0017793594306049821
POLR1E	0.7978307405236352		4.988526389304599e-05	0.0017793594306049821
AKAP1	0.7975136407509219		4.988526389304599e-05	0.0017793594306049821
BZW2	0.7969378049925497		4.988526389304599e-05	0.0017793594306049821
DHX33	0.7967288142087102		4.988526389304599e-05	0.0017793594306049821
AARSD1	0.7966677891766777		4.988526389304599e-05	0.0017793594306049821
RCL1	0.7962021637711958		4.988526389304599e-05	0.0017793594306049821
WDR43	0.7961574197986476		4.988526389304599e-05	0.0017793594306049821
TMEM48	0.7957057382875616		4.988526389304599e-05	0.0017793594306049821
PUS3	0.795513749166023		4.988526389304599e-05	0.0017793594306049821
C3ORF26	0.7953829100606712		4.988526389304599e-05	0.0017793594306049821
BCL7A	0.7952128312654613		4.988526389304599e-05	0.0017793594306049821
CCDC85B	0.7950526801251889		4.988526389304599e-05	0.0017793594306049821
REPIN1	0.7945772227318934		4.988526389304599e-05	0.0017793594306049821
SLC38A5	0.7938621535958581		4.988526389304599e-05	0.0017793594306049821
OAF	0.7937697281550297		4.988526389304599e-05	0.0017793594306049821
METTL8	0.7934998876500929		4.988526389304599e-05	0.0017793594306049821
TATDN2	0.7925772862347463		4.988526389304599e-05	0.0017793594306049821
DPP7	0.7925381861987462		4.988526389304599e-05	0.0017793594306049821
HSPA8	0.7923564294281616		4.988526389304599e-05	0.0017793594306049821
CD320	0.7920314373271389		4.988526389304599e-05	0.0017793594306049821
SNORA24	0.7919374157364395		4.988526389304599e-05	0.0017793594306049821
MDN1	0.791054846243582		4.988526389304599e-05	0.0017793594306049821
TUFM	0.7908568867400504		4.988526389304599e-05	0.0017793594306049821
MTHFD1	0.7908386926856636		4.988526389304599e-05	0.0017793594306049821
SLC25A38	0.7906814764519836		4.988526389304599e-05	0.0017793594306049821
MCOLN2	0.7906564975956308		4.988526389304599e-05	0.0017793594306049821
LTV1	0.7906105795012822		4.988526389304599e-05	0.0017793594306049821
DPH2	0.7902793326706098		4.988526389304599e-05	0.0017793594306049821
RP6-166C19.1	0.7902609720646964		4.988526389304599e-05	0.0017793594306049821
GSPT1	0.7902279833925164		4.988526389304599e-05	0.0017793594306049821
ATP5G1	0.7899402171617943		4.988526389304599e-05	0.0017793594306049821
CECR5	0.7897465766714068		4.988526389304599e-05	0.0017793594306049821
LETM1	0.7895888873448349		4.988526389304599e-05	0.0017793594306049821
DCAL1	0.789491814080058		4.988526389304599e-05	0.0017793594306049821
LIAS	0.7892024616443838		4.988526389304599e-05	0.0017793594306049821
B4GALT2	0.789160555303649		4.988526389304599e-05	0.0017793594306049821
TUSC4	0.789039978661509		4.988526389304599e-05	0.0017793594306049821
NOC3L	0.7887923324531163		4.988526389304599e-05	0.0017793594306049821
GAL	0.7886207060851846		4.988526389304599e-05	0.0017793594306049821
HSPA9B	0.7882910724483125		4.988526389304599e-05	0.0017793594306049821
THOC5	0.7877058017739126		4.988526389304599e-05	0.0017793594306049821
RBM13	0.7869982351311933		4.988526389304599e-05	0.0017793594306049821
GTF3C2	0.7867594681884897		4.988526389304599e-05	0.0017793594306049821
POFUT1	0.7857454519992492		4.988526389304599e-05	0.0017793594306049821
IFRD2	0.7857159375394993		4.988526389304599e-05	0.0017793594306049821
SUV39H2	0.7853598758135283		4.988526389304599e-05	0.0017793594306049821
MCCC2	0.7848526873407997		4.988526389304599e-05	0.0017793594306049821
C12ORF45	0.7844391731282686		4.988526389304599e-05	0.0017793594306049821
THADA	0.7840388214809496		4.988526389304599e-05	0.0017793594306049821
GLS2	0.7840199125778081		4.988526389304599e-05	0.0017793594306049821
SLC39A4	0.7838955216601112		4.988526389304599e-05	0.0017793594306049821
ELAC2	0.7835291669881767		4.988526389304599e-05	0.0017793594306049821
CCDC59	0.78346918782115		4.988526389304599e-05	0.0017793594306049821
SUPT16H	0.7834439319945508		4.988526389304599e-05	0.0017793594306049821
EARS2	0.7832333799782781		4.988526389304599e-05	0.0017793594306049821
CD97	0.7830724374354886		4.988526389304599e-05	0.0017793594306049821
TGIF2	0.7830635071561248		4.988526389304599e-05	0.0017793594306049821
LOC388796	0.7830068176625332		4.988526389304599e-05	0.0017793594306049821
THNSL1	0.7827701765672607		4.988526389304599e-05	0.0017793594306049821
SLC43A3	0.782632175939711		4.988526389304599e-05	0.0017793594306049821
PPIL1	0.7821467958726639		4.988526389304599e-05	0.0017793594306049821
ASB13	0.7815311712395481		4.988526389304599e-05	0.0017793594306049821
MECR	0.7814221417611924		4.988526389304599e-05	0.0017793594306049821
FBXO17	0.7813319582137266		4.988526389304599e-05	0.0017793594306049821
QSCN6L1	0.7810125825248552		4.988526389304599e-05	0.0017793594306049821
NDUFA12L	0.780962798001038		4.988526389304599e-05	0.0017793594306049821
PDF	0.780864803863996		4.988526389304599e-05	0.0017793594306049821
MGC16291	0.780310359864593		4.988526389304599e-05	0.0017793594306049821
TXNDC14	0.7802429343311625		4.988526389304599e-05	0.0017793594306049821
MPHOSPH10	0.7797946655288134		4.988526389304599e-05	0.0017793594306049821
DPH5	0.779507232130042		4.988526389304599e-05	0.0017793594306049821
TIMM10	0.7784267356039869		4.988526389304599e-05	0.0017793594306049821
KIAA0507	0.7783779466232976		4.988526389304599e-05	0.0017793594306049821
DFFA	0.7780961761018019		4.988526389304599e-05	0.0017793594306049821
C16ORF51	0.7780300089373979		4.988526389304599e-05	0.0017793594306049821
CAD	0.7780105489913595		4.988526389304599e-05	0.0017793594306049821
VPRBP	0.7775687801915272		4.988526389304599e-05	0.0017793594306049821
RP13-15M17.2	0.7774602576311466		4.988526389304599e-05	0.0017793594306049821
LOC643287	0.7769386286700105		4.988526389304599e-05	0.0017793594306049821
KIAA1345	0.776291267720371		4.988526389304599e-05	0.0017793594306049821
USP36	0.7756588201128356		4.988526389304599e-05	0.0017793594306049821
NOB1	0.7756481191574178		4.988526389304599e-05	0.0017793594306049821
CCT3	0.7755755482296919		4.988526389304599e-05	0.0017793594306049821
HSPBAP1	0.7750123965872391		4.988526389304599e-05	0.0017793594306049821
DUSP23	0.774713380056197		4.988526389304599e-05	0.0017793594306049821
HSP90AB1	0.774695953207433		4.988526389304599e-05	0.0017793594306049821
XPO5	0.7745956702441318		4.988526389304599e-05	0.0017793594306049821
MCAT	0.7745484055854202		4.988526389304599e-05	0.0017793594306049821
RNF126	0.7741503598291604		4.988526389304599e-05	0.0017793594306049821
C1ORF163	0.7741131493314097		4.988526389304599e-05	0.0017793594306049821
DDX20	0.7740583283928989		4.988526389304599e-05	0.0017793594306049821
SF3A3	0.7739876892326992		4.988526389304599e-05	0.0017793594306049821
TFAP4	0.7735322608695917		4.988526389304599e-05	0.0017793594306049821
POLR3E	0.7732677372906009		4.988526389304599e-05	0.0017793594306049821
BYSL	0.7728203540270089		4.988526389304599e-05	0.0017793594306049821
SDCCAG3	0.7720147486059512		4.988526389304599e-05	0.0017793594306049821
FTSJ3	0.7718501899196439		4.988526389304599e-05	0.0017793594306049821
GNL2	0.7717957517350608		4.988526389304599e-05	0.0017793594306049821
GPATC4	0.7717194025618939		4.988526389304599e-05	0.0017793594306049821
LYRM4	0.7716622293445642		4.988526389304599e-05	0.0017793594306049821
DDX28	0.7709285558544651		4.988526389304599e-05	0.0017793594306049821
CCNB1IP1	0.7708537279121601		4.988526389304599e-05	0.0017793594306049821
ANAPC1	0.7708332457328836		4.988526389304599e-05	0.0017793594306049821
C9ORF123	0.7706986374470486		4.988526389304599e-05	0.0017793594306049821
LOC90784	0.7705848639394931		4.988526389304599e-05	0.0017793594306049821
MLH3	0.7704788960672609		4.988526389304599e-05	0.0017793594306049821
ST6GALNAC4	0.7703269803826569		4.988526389304599e-05	0.0017793594306049821
FRAT2	0.7702353832705313		4.988526389304599e-05	0.0017793594306049821
ANKS6	0.7700674686952166		4.988526389304599e-05	0.0017793594306049821
FXN	0.7697910740091635		4.988526389304599e-05	0.0017793594306049821
CTPS	0.7692613453980542		4.988526389304599e-05	0.0017793594306049821
MSTO1	0.7692065673533539		4.988526389304599e-05	0.0017793594306049821
HMBS	0.7688141061360132		4.988526389304599e-05	0.0017793594306049821
SSB	0.7684721080838415		4.988526389304599e-05	0.0017793594306049821
TFRC	0.7684127227354843		4.988526389304599e-05	0.0017793594306049821
LAS1L	0.7683036350923426		4.988526389304599e-05	0.0017793594306049821
RRS1	0.7682412295373698		4.988526389304599e-05	0.0017793594306049821
CD55	0.767517795048648		4.988526389304599e-05	0.0017793594306049821
FLJ10661	0.7674537161291419		4.988526389304599e-05	0.0017793594306049821
DYRK4	0.7673103316990109		4.988526389304599e-05	0.0017793594306049821
GTF3C4	0.7670137180701836		4.988526389304599e-05	0.0017793594306049821
UBQLN4	0.7666877170899846		4.988526389304599e-05	0.0017793594306049821
LRFN4	0.7665460038971633		4.988526389304599e-05	0.0017793594306049821
POLR1C	0.766396916538917		4.988526389304599e-05	0.0017793594306049821
FBXW9	0.7660252109625566		4.988526389304599e-05	0.0017793594306049821
C1ORF79	0.7657982369023579		4.988526389304599e-05	0.0017793594306049821
MDS032	0.7654830776029782		4.988526389304599e-05	0.0017793594306049821
IL15RA	0.7651138597522121		4.988526389304599e-05	0.0017793594306049821
HNRPAB	0.7649791068981188		4.988526389304599e-05	0.0017793594306049821
TIMM50	0.7647753839964156		4.988526389304599e-05	0.0017793594306049821
REXO2	0.7646302125091681		4.988526389304599e-05	0.0017793594306049821
ELP3	0.7645414628568815		4.988526389304599e-05	0.0017793594306049821
MINA	0.7644644984972279		4.988526389304599e-05	0.0017793594306049821
NKIRAS1	0.7639232381461678		4.988526389304599e-05	0.0017793594306049821
C5ORF26	0.7638273329932352		4.988526389304599e-05	0.0017793594306049821
KIAA1919	0.763779714461764		4.988526389304599e-05	0.0017793594306049821
NAGPA	0.7636917222577994		4.988526389304599e-05	0.0017793594306049821
TTC27	0.7634229399770815		4.988526389304599e-05	0.0017793594306049821
TBC1D4	0.7632546754667607		4.988526389304599e-05	0.0017793594306049821
UTP6	0.7629538826582697		4.988526389304599e-05	0.0017793594306049821
AK2	0.7626909587261987		4.988526389304599e-05	0.0017793594306049821
ACAT1	0.7624781169484431		4.988526389304599e-05	0.0017793594306049821
MRPS26	0.7624060698696181		4.988526389304599e-05	0.0017793594306049821
UNG	0.7620082439706823		4.988526389304599e-05	0.0017793594306049821
ATP6V0E2L	0.7603622646572528		4.988526389304599e-05	0.0017793594306049821
MRPL3	0.7603558428222325		4.988526389304599e-05	0.0017793594306049821
RCN1	0.7603550268377214		4.988526389304599e-05	0.0017793594306049821
FAH	0.7601419563213891		4.988526389304599e-05	0.0017793594306049821
MRPS5	0.7598939790934812		4.988526389304599e-05	0.0017793594306049821
ZC3HC1	0.7595800404429216		4.988526389304599e-05	0.0017793594306049821
YRDC	0.7594114316377383		4.988526389304599e-05	0.0017793594306049821
PRPS1	0.7592231315458751		4.988526389304599e-05	0.0017793594306049821
WDR35	0.7581883516274869		4.988526389304599e-05	0.0017793594306049821
CCT7	0.7577858374491262		4.988526389304599e-05	0.0017793594306049821
PDK1	0.7577059514774442		4.988526389304599e-05	0.0017793594306049821
DNAJA3	0.7576301499494023		4.988526389304599e-05	0.0017793594306049821
NOC2L	0.7570914074416333		4.988526389304599e-05	0.0017793594306049821
CGI-115	0.7568773205703718		4.988526389304599e-05	0.0017793594306049821
RP5-1119A7.4	0.7568659172758471		4.988526389304599e-05	0.0017793594306049821
EBNA1BP2	0.7561949571335844		4.988526389304599e-05	0.0017793594306049821
FXC1	0.7560871652697636		4.988526389304599e-05	0.0017793594306049821
C22ORF16	0.7560494841513107		4.988526389304599e-05	0.0017793594306049821
SHB	0.7555862511003338		4.988526389304599e-05	0.0017793594306049821
HADH2	0.7553912149624059		4.988526389304599e-05	0.0017793594306049821
TIMM8B	0.7549746000234169		4.988526389304599e-05	0.0017793594306049821
WDR46	0.7549356167191582		4.988526389304599e-05	0.0017793594306049821
PWP2H	0.7546748934267291		4.988526389304599e-05	0.0017793594306049821
DGAT2	0.7545340947469066		4.988526389304599e-05	0.0017793594306049821
ZNF74	0.7543583444893728		4.988526389304599e-05	0.0017793594306049821
LSG1	0.7542525403639807		4.988526389304599e-05	0.0017793594306049821
